"","Df","SumOfSqs","R2","F","Pr..F."
"sprayed",1,21.6471733248916,0.48733442400136,228.694015030106,0.001
"ash",2,0.382966660220806,0.00862158000813095,2.02294733437224,0.053
"time",2,2.32487306577801,0.0523389663575338,12.2806924458066,0.001
"sprayed:ash",2,0.312731407729398,0.00704040098749031,1.65194319337329,0.119
"sprayed:time",1,0.404753777147707,0.00911206492821116,4.27606713381243,0.009
"ash:time",4,0.283197052882699,0.00637550550245635,0.747966837244811,0.7
"sprayed:ash:time",2,0.132726005069078,0.00298800911599688,0.701099458635797,0.63
"Residual",200,18.9311235994015,0.42618904909882,NA,NA
"Total",214,44.4195448931208,1,NA,NA
