"","Df","SumOfSqs","R2","F","Pr..F."
"sprayed",1,14.6489336138815,0.351110139999092,137.240099185451,0.001
"ash",2,0.580292345528246,0.0139086251633874,2.71826540948303,0.007
"time",2,3.41063270386931,0.0817470921573612,15.9764383845871,0.001
"sprayed:ash",2,0.580081710268569,0.0139035765927909,2.71727873001912,0.016
"sprayed:time",1,0.772954428159856,0.0185264091323993,7.24150611795862,0.001
"ash:time",4,0.357661232040712,0.00857253425840245,0.837696863366629,0.642
"sprayed:ash:time",2,0.023314405496496,0.000558806831516612,0.109211749029871,1
"Residual",200,21.3478913245123,0.511672815865049,NA,NA
"Total",214,41.721761763757,1,NA,NA
