"term","statistic","df","Df.res","p.value"
"sprayed",155.006642074148,1,129.010582404455,7.3680868353864e-24
"ash",1.14587564217918,2,129.010345616204,0.321159667749487
"time",1.01140939661981,1,129.010582404455,0.31644798123703
"sprayed:ash",3.34933244203172,2,129.010978795337,0.0381864020140352
"sprayed:time",10.5174045659895,1,129.011068503821,0.00150555308884091
"ash:time",0.0825308074535921,2,129.01097879534,0.920831644459622
"sprayed:ash:time",0.0196997509527328,2,129.01131743133,0.980495970045761
