"","Df","SumOfSqs","R2","F","Pr..F."
"sprayed",1,3.56821336157436,0.166420327633785,56.0573646637923,0.001
"ash",2,0.179317710088251,0.00836332053032274,1.40855902471288,0.282
"time",2,4.06369631991558,0.189529494017187,31.9207518448265,0.001
"sprayed:ash",2,-0.0336157201540761,-0.00156782641473509,-0.264054933402526,0.98
"sprayed:time",1,0.613475201112155,0.0286122867717868,9.6378213901884,0.001
"ash:time",4,0.32549437736594,0.0151809534450861,1.27839587764771,0.28
"sprayed:ash:time",2,-0.00618893132624265,-0.000288649773611592,-0.0486146910342377,0.946
"Residual",200,12.7305783387248,0.593750093790179,NA,NA
"Total",214,21.4409706573008,1,NA,NA
