"term","statistic","df","Df.res","p.value"
"sprayed",147.855761737972,1,129.001491948968,3.86162588040946e-23
"ash",1.50496801143309,2,129.001459381095,0.225896344526214
"time",0.175744790465777,1,129.001491948968,0.675753142441637
"sprayed:ash",7.06688747370887,2,129.001548519194,0.00122367891009335
"sprayed:time",18.7243093378689,1,129.001560304546,3.0009729025377e-05
"ash:time",0.534323009310573,2,129.001548519194,0.587357276379638
"sprayed:ash:time",0.110475064995858,2,129.001596182922,0.895493278233589
