"","Df","SumOfSqs","R2","F","Pr..F."
"sprayed",1,2.0218639692024,0.314211169941285,100.817057146724,0.001
"ash",2,0.0765286031750825,0.0118930562609021,1.90798903318528,0.201
"time",2,-0.270477812628204,-0.0420340592856968,-6.74347471146042,1
"sprayed:ash",2,0.301357985665609,0.0468330445022442,7.5133702675499,0.003
"sprayed:time",1,0.228758020704207,0.035550524869028,11.406657815464,0.002
"ash:time",4,0.0371929414518126,0.00578003160704324,0.463641837546739,0.743
"sprayed:ash:time",2,0.0285499275029393,0.00443684949090629,0.711798547390439,0.533
"Residual",200,4.01095613465462,0.623329382614287,NA,NA
"Total",214,6.43472976972846,1,NA,NA
